"BehaviorSpace results (NetLogo 6.0.4)"
"model-SASI.nlogo"
"exp1-R0"
"04/15/2020 14:49:09:942 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","scenarios","density","rayon","quarantaine","p-asymptomatiques","p-symptomatiques","p-immuniser","p-mort","p-sains","p-vacciner","vitesse-de-deplacement-groupe","[step]","(count turtles  - count turtles with [state = 0]) / count turtles","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]","mean [count out-link-neighbors] of turtles with [state = 3]"
"133","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","718","1","9.654440154440154","102.91602316602317","0.999034749034749"
"134","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","1078","1","10.114864864864865","100.90926640926641","0.999034749034749"
"131","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","884","1","9.785714285714286","102.63030888030887","0.999034749034749"
"135","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","844","1","10.436293436293436","100.35907335907336","1"
"136","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","832","1","10.170849420849422","99.39478764478764","0.999034749034749"
"139","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","777","0.999034749034749","9.951690821256038","104.90531400966184","0.9990338164251208"
"137","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","954","1","9.941119691119692","101.55791505791505","1"
"141","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","704","1","10.16891891891892","98.50965250965251","1"
"140","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","762","0.999034749034749","10.468599033816425","97.16811594202899","0.9990338164251208"
"138","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","853","1","9.696911196911197","94.42760617760618","0.999034749034749"
"142","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","904","1","10.128378378378379","101.31853281853282","1"
"143","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","1058","1","9.583011583011583","105.1515444015444","1"
"144","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","760","1","10.17953667953668","99.25965250965251","0.999034749034749"
"145","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","671","1","10.352316602316602","97.31853281853282","1"
